Customer_ID,Region,Customer_Segment,Industry,Lead_Source,Lead_Stage,Is_Won,Customer_Status,Product,Campaign,Preferred_Channel,Assigned_Sales_Rep,Signup_Date,Last_Contact_Date,Days_to_Last_Contact,Lead_Score,Interaction_Count,Website_Visits,Email_Opens,Response_Time_Hours,Customer_Satisfaction,Revenue,Has_Revenue
CUST10000,Aqaba,Corporate,Technology,LinkedIn,New Lead,False,Active,CRM Enterprise,No Campaign,Social Media,Lina Haddad,2025-01-30,2025-03-20,49.0,46.0,11,8,7,8.8,7.5,0.0,False
CUST10001,Aqaba,Corporate,Construction,Email Campaign,Contacted,False,Active,Marketing Add-on,Referral Program,Meeting,Omar Mansour,2024-10-18,2025-02-20,125.0,76.0,5,6,3,14.6,9.5,0.0,False
CUST10002,Salt,Consumer,Healthcare,Unknown,Proposal,False,Inactive,CRM Professional,No Campaign,Phone,Omar Mansour,2024-10-20,2024-11-02,13.0,88.0,7,11,1,8.8,7.1,69.84,True
CUST10003,Karak,Consumer,Technology,Google Ads,Qualified,False,Active,Marketing Add-on,Back-to-School,WhatsApp,Yara Odeh,2023-09-02,2023-10-08,36.0,28.0,4,9,9,7.1,10.0,0.0,False
CUST10004,Salt,Corporate,Retail,Instagram,Qualified,False,Prospect,CRM Basic,Summer Campaign,Social Media,Lina Haddad,2023-06-04,2023-09-13,101.0,100.0,7,8,2,7.1,9.4,0.0,False
CUST10005,Salt,Consumer,Finance,LinkedIn,Contacted,False,Active,Analytics Add-on,No Campaign,Meeting,Yara Odeh,2024-02-19,2024-11-27,282.0,75.0,1,6,3,6.3,5.0,0.0,False
CUST10006,Madaba,Consumer,Hospitality,Website,Negotiation,False,Active,CRM Enterprise,Back-to-School,Website,Dana Nasser,2023-11-06,2024-01-31,86.0,74.0,3,12,5,,7.9,300.25,True
CUST10007,Amman,Consumer,Hospitality,Facebook,Negotiation,False,Inactive,Analytics Add-on,Q1 Acquisition,Social Media,Lina Haddad,2025-12-17,2025-12-21,4.0,100.0,5,7,4,2.2,8.2,87.3,True
CUST10008,Aqaba,Consumer,Construction,Trade Show,Qualified,False,Active,CRM Basic,Back-to-School,Meeting,Samer Khalil,2025-11-20,2025-12-31,41.0,42.0,2,9,2,10.1,5.3,0.0,False
CUST10009,Unknown,Corporate,Unknown,Unknown,Won,True,Prospect,CRM Basic,Unknown,Meeting,Ahmad Saleh,2024-01-02,2024-12-05,338.0,97.0,5,11,6,8.4,7.5,848.37,True
CUST10010,Irbid,Consumer,Healthcare,Email Campaign,Proposal,False,Active,CRM Basic,Referral Program,WhatsApp,Dana Nasser,2025-06-07,2025-11-20,166.0,28.0,5,12,5,11.2,8.8,16.93,True
CUST10011,Irbid,Small Business,Hospitality,Cold Call,Negotiation,False,Prospect,CRM Enterprise,Year-End Campaign,Social Media,Omar Mansour,2025-10-19,2025-12-31,73.0,67.0,5,5,3,,6.7,1300.21,True
CUST10012,Aqaba,Consumer,Manufacturing,Email Campaign,Contacted,False,Active,CRM Enterprise,Q1 Acquisition,Social Media,Samer Khalil,2025-10-20,2025-12-31,72.0,77.0,5,17,6,26.1,7.8,0.0,False
CUST10013,Karak,Consumer,Retail,Google Ads,New Lead,False,Prospect,Marketing Add-on,No Campaign,Email,Dana Nasser,2023-02-27,2023-07-07,130.0,31.0,3,6,6,10.4,8.6,0.0,False
CUST10014,Zarqa,Consumer,Education,Trade Show,Won,True,Active,CRM Professional,Back-to-School,Meeting,Ahmad Saleh,2023-06-11,2023-07-12,31.0,72.0,7,11,5,6.3,8.8,326.61,True
CUST10015,Amman,Consumer,Technology,Google Ads,Won,True,Active,CRM Basic,Q1 Acquisition,Social Media,Omar Mansour,2025-09-18,2025-09-29,11.0,68.0,5,4,11,9.5,4.1,141.97,True
CUST10016,Zarqa,Consumer,Manufacturing,Referral,New Lead,False,Inactive,CRM Basic,Spring Campaign,Meeting,Lina Haddad,2023-02-22,2023-12-21,302.0,36.0,5,5,1,18.0,,0.0,False
CUST10017,Amman,Small Business,Hospitality,Google Ads,Qualified,False,Inactive,CRM Basic,No Campaign,Phone,Ahmad Saleh,2023-02-08,2023-05-15,96.0,40.0,4,12,4,,5.8,0.0,False
CUST10018,Aqaba,Consumer,Manufacturing,Trade Show,Negotiation,False,Active,Analytics Add-on,Summer Campaign,Phone,Yara Odeh,2025-06-08,2025-12-15,190.0,100.0,2,1,5,6.5,,55.43,True
CUST10019,Aqaba,Consumer,Healthcare,Google Ads,Proposal,False,Active,Analytics Add-on,Unknown,Website,Dana Nasser,2023-12-18,2024-06-27,192.0,43.0,9,6,5,12.2,8.7,33.32,True
CUST10020,Madaba,Consumer,Education,Facebook,Won,True,Active,Marketing Add-on,Q1 Acquisition,Social Media,Omar Mansour,2024-05-11,2025-02-01,266.0,86.0,6,13,6,7.2,7.1,87.24,True
CUST10021,Irbid,Consumer,Unknown,Facebook,New Lead,False,Active,CRM Professional,Spring Campaign,Website,Dana Nasser,2025-06-18,2025-10-24,128.0,57.0,6,6,6,8.5,8.3,0.0,False
CUST10022,Karak,Enterprise,Education,Instagram,Qualified,False,Active,CRM Basic,Referral Program,WhatsApp,Ahmad Saleh,2024-12-21,2025-08-16,238.0,45.0,4,9,5,23.3,3.4,0.0,False
CUST10023,Zarqa,Small Business,Retail,Cold Call,New Lead,False,Active,CRM Basic,Year-End Campaign,Meeting,Omar Mansour,2025-02-05,2025-12-31,329.0,11.0,4,5,4,1.8,6.8,0.0,False
CUST10024,Irbid,Consumer,Healthcare,Trade Show,Qualified,False,Active,CRM Enterprise,Summer Campaign,WhatsApp,Ahmad Saleh,2024-06-25,2024-10-15,112.0,48.0,7,15,9,9.8,7.8,0.0,False
CUST10025,Irbid,Consumer,Manufacturing,Google Ads,New Lead,False,Active,Marketing Add-on,No Campaign,Email,Dana Nasser,2023-09-06,2024-07-18,316.0,32.0,3,13,4,7.5,,0.0,False
CUST10026,Jerash,Enterprise,Manufacturing,Trade Show,Won,True,Active,CRM Basic,Spring Campaign,Email,Yara Odeh,2024-11-28,2025-11-06,343.0,98.0,2,7,1,13.1,7.0,2137.42,True
CUST10027,Salt,Consumer,Retail,Email Campaign,Proposal,False,Prospect,CRM Basic,No Campaign,Social Media,Omar Mansour,2025-07-12,2025-12-04,145.0,64.0,4,11,2,5.1,8.0,22.52,True
CUST10028,Aqaba,Corporate,Manufacturing,Website,Won,True,Active,CRM Enterprise,Referral Program,Social Media,Omar Mansour,2023-07-15,2023-09-18,65.0,80.0,6,11,2,,5.4,9574.09,True
CUST10029,Unknown,Consumer,Finance,LinkedIn,New Lead,False,Prospect,CRM Enterprise,Q1 Acquisition,Website,Omar Mansour,2024-08-28,2025-05-02,247.0,12.0,3,7,3,6.2,6.5,0.0,False
CUST10030,Madaba,Enterprise,Healthcare,Email Campaign,Contacted,False,Active,CRM Basic,Year-End Campaign,Website,Dana Nasser,2024-01-06,2024-08-16,223.0,46.0,4,5,5,15.7,8.0,0.0,False
